"nom_ville"|"long"|"lat"|"periode"|"effectif"
Aix-les-Bains|5.9165|45.7002|"1855_1860"|2
Alagna|7.9362|45.8546|"1848_1854"|2
Albizzate |8.7987|45.7167|"1848_1854"|1
Albizzate |8.7987|45.7167|"1855_1860"|1
Albizzate |8.7987|45.7167|"1861_1870"|2
Albogno|8.4209|46.1396|"1848_1854"|7
Albogno|8.4209|46.1396|"1855_1860"|7
Albogno|8.4209|46.1396|"1861_1870"|13
Albogno|8.4209|46.1396|Error|1
Alpette|7.5792|45.4091|"1861_1870"|3
Annecy|6.1293|45.8993|"1848_1854"|2
Annecy|6.1293|45.8993|"1855_1860"|2
Annecy|6.1293|45.8993|"1861_1870"|1
Annemasse|6.2502|46.2|"1848_1854"|3
Aosta|7.321|45.7378|"1861_1870"|2
Archamps|6.1307|46.1349|"1848_1854"|3
Archamps|6.1307|46.1349|"1855_1860"|2
Arola|8.3565|45.8087|"1848_1854"|4
Arola|8.3565|45.8087|"1855_1860"|1
Arona|8.5597|45.757|"1848_1854"|4
Arona|8.5597|45.757|"1855_1860"|1
Arona|8.5597|45.757|"1861_1870"|1
Arvier|7.1672|45.7033|"1855_1860"|2
Asola|10.4164|45.2178|"1848_1854"|1
Asti|8.2082|44.9016|"1861_1870"|1
Beaumont|6.117|46.1001|"1848_1854"|1
Bobbio|9.4124|44.7525|"1848_1854"|3
Bobbio|9.4124|44.7525|"1855_1860"|5
Bobbio|9.4124|44.7525|"1861_1870"|3
Bogève|6.434|46.2217|"1848_1854"|1
Bonneville|2.2945|50.0766|"1855_1860"|1
Borgosesia|8.2768|45.7186|"1848_1854"|11
Borgosesia|8.2768|45.7186|"1855_1860"|12
Borgosesia|8.2768|45.7186|"1861_1870"|23
Brusnengo|8.2191|45.5996|"1855_1860"|1
Brusnengo|8.2191|45.5996|"1861_1870"|2
Buttogno|8.4663|46.1351|"1855_1860"|1
Campertogno|8.0324|45.801|"1848_1854"|1
Carcoforo|8.0489|45.9005|"1855_1860"|1
Casella|8.9992|44.5367|"1848_1854"|2
Cavandone|8.5178|45.9459|"1848_1854"|5
Cavandone|8.5178|45.9459|"1855_1860"|1
Cellio|8.3126|45.7545|"1855_1860"|1
Cellio|8.3126|45.7545|"1861_1870"|4
Challonges|5.8334|46.0168|"1848_1854"|2
Chambéry|5.9171|45.565|"1855_1860"|2
Chamonix-Mont-Blanc|6.8668|45.917|"1855_1860"|1
Cimamulera|8.2665|46.0175|"1848_1854"|2
Cimamulera|8.2665|46.0175|"1855_1860"|1
Cluses|6.5997|46.0668|"1848_1854"|2
Clusone|9.9495|45.891|"1848_1854"|2
Conzano|8.4554|45.0221|"1848_1854"|2
Conzano|8.4554|45.0221|"1855_1860"|1
Cortemaggiore|9.933|45.0007|"1861_1870"|1
Cossato|8.1862|45.5612|"1861_1870"|2
Cranves Sales|6.3003|46.1834|"1848_1854"|1
Crescentino|8.1093|45.2062|"1855_1860"|2
Crescentino|8.1093|45.2062|"1861_1870"|1
Curiglia |8.8042|46.0608|"1861_1870"|1
Curino|8.2191|45.5996|"1861_1870"|3
Domodossola|8.2906|46.118|"1855_1860"|2
Domodossola|8.2906|46.118|"1861_1870"|2
Entremont|6.3834|45.9504|"1848_1854"|1
Entremont|6.3834|45.9504|"1855_1860"|2
Foresto|7.1212|45.1428|"1848_1854"|2
Gaillard |6.2165|46.1834|"1848_1854"|1
Gaillard |6.2165|46.1834|"1855_1860"|1
Garlasco|8.9168|45.2004|"1855_1860"|2
Garlasco|8.9168|45.2004|"1861_1870"|1
Gozzano|8.4334|45.7512|"1855_1860"|1
Gray|5.5934|47.4457|"1855_1860"|1
Grignasco|8.3345|45.6841|"1848_1854"|1
Grignasco|8.3345|45.6841|"1855_1860"|1
Grénoble|5.6868|45.5381|"1848_1854"|1
Grénoble|5.6868|45.5381|"1855_1860"|2
Habère-Lullin|6.4531|46.2359|"1848_1854"|15
Habère-Lullin|6.4531|46.2359|"1855_1860"|16
Habère-Poche|6.4723|46.2511|"1848_1854"|3
Héricourt|6.7635|47.5793|"1848_1854"|3
Héricourt|6.7635|47.5793|"1855_1860"|2
Juvigny|6.2801|46.215|"1861_1870"|1
Loisin|6.3103|46.2929|"1848_1854"|1
Lugrin|6.6646|46.4028|"1848_1854"|1
Maggiora|8.4334|45.6841|"1848_1854"|4
Maggiora|8.4334|45.6841|"1855_1860"|3
Maggiora|8.4334|45.6841|"1861_1870"|7
Magliano Alpi|7.7989|44.4504|"1855_1860"|1
Masserano|8.2191|45.5996|"1848_1854"|1
Masserano|8.2191|45.5996|"1855_1860"|5
Masserano|8.2191|45.5996|"1861_1870"|3
Mesenzana|8.7657|45.9502|"1861_1870"|1
Migiandone|8.384|45.9852|"1848_1854"|2
Migiandone|8.384|45.9852|"1855_1860"|3
Migiandone|8.384|45.9852|"1861_1870"|1
Milano|9.1887|45.4688|"1848_1854"|1
Milano|9.1887|45.4688|"1855_1860"|2
Montescheno|8.2329|46.0685|"1848_1854"|1
Monza|9.2738|45.5843|"1848_1854"|1
Morca|8.21071|45.8209|"1861_1870"|2
Murisengo|8.1367|45.0842|"1861_1870"|2
Nangy|6.3003|46.1501|"1848_1854"|3
Napoli|14.2479|40.8377|"1861_1870"|1
Neydens|6.0998|46.1168|"1848_1854"|1
Neydens|6.0998|46.1168|"1855_1860"|1
Notre-Dame-du-Pré|6.5997|45.5167|"1848_1854"|3
Notre-Dame-du-Pré|6.5997|45.5167|"1855_1860"|5
Novara|8.6201|45.4515|"1855_1860"|1
Parone|8.2566|45.7934|"1848_1854"|8
Parone|8.2566|45.7934|"1855_1860"|6
Parone|8.2566|45.7934|"1861_1870"|6
Pinerolo|7.332|44.888|"1861_1870"|2
Pralognan-la-Vanoise|6.7164|45.3837|"1848_1854"|1
Prato Sesia|8.3839|45.6515|"1855_1860"|1
Prato Sesia|8.3839|45.6515|"1861_1870"|1
Quarna Sopra |8.373|45.8757|"1861_1870"|1
Quarona|8.2658|45.7589|"1848_1854"|2
Quarona|8.2658|45.7589|"1855_1860"|2
Quarona|8.2658|45.7589|"1861_1870"|1
Rima San Giuseppe|7.9994|45.8852|"1855_1860"|4
Rima San Giuseppe|7.9994|45.8852|"1861_1870"|4
Rimasco|8.066|45.8675|"1848_1854"|4
Rimasco|8.066|45.8675|"1855_1860"|1
Roma|12.4818|41.8931|"1855_1860"|1
