"nom_rue_co"|"geometry"|"effectif"
Rue de la Combe|LINESTRING (6.8332214025682125 47.10289671174806, 6.8368739226409225 47.098114350609315)|17
Rue Robert|LINESTRING (6.829869383563521 47.10564564938304, 6.8310138858765725 47.10453397769938)|11
Rue Léopold Robert|LINESTRING (6.828552739608766 47.10199261091055, 6.831373881075885 47.10360018178484)|7
Rue de la Balance|LINESTRING (6.83114660184341 47.10494546473219, 6.832268429119846 47.10368224043184)|6
Grand Rue|LINESTRING (6.826010216100796 47.10045468436583, 6.831397725572692 47.103479429408495)|3
Rue de l'Industrie|LINESTRING (6.830999785844244 47.10568275926038, 6.833025392237078 47.10682449819729)|3
Rue de la Charrière|LINESTRING (6.830822330345765 47.10719580388127, 6.830920537556916 47.10742850576622)|3
Rue de la Promenade|LINESTRING (6.832616177928177 47.10171282718703, 6.833069263642651 47.10127024155492)|3
Rue du Puits|LINESTRING (6.831518745297777 47.10527906045223, 6.833483053393973 47.10644484595898)|3
Place Hotel de Ville|LINESTRING (6.832207055356989 47.10338001623649, 6.832366663629335 47.10345170964172)|2
Rue de la Ronde|LINESTRING (6.832441984016215 47.10444391767363, 6.8352429908681644 47.106075691977104)|2
Rue Fritz Courvoisier|LINESTRING (6.83310727471619 47.103544193892, 6.8336351590306785 47.10361244904095)|1
Rue Jaquet-Droz|LINESTRING (6.825719566008248 47.09891937234305, 6.829244590576367 47.101090026902966)|1
Rue de la Cure|LINESTRING (6.832458354258225 47.10412010954743, 6.833113595273821 47.1045023717724)|1
Rue de la Grognerie|LINESTRING (6.828575771441799 47.10621551774039, 6.829880889615128 47.107007576477415)|1
Rue de la Serre|LINESTRING (6.827159030851482 47.10214002271397, 6.830461875803331 47.10431777434004)|1
Rue des Granges|LINESTRING (6.833539816115944 47.103089066494, 6.833841314416448 47.103216615004996)|1
Rue des Juifs|LINESTRING (6.8333092465031084 47.10362269585589, 6.833632224425685 47.10367389093536)|1
Rue du Grenier|LINESTRING (6.831405237342701 47.101451767182326, 6.832093279247544 47.10316649715559)|1
Rue du Pré|LINESTRING (6.828907383975366 47.10481006173804, 6.82910738397537 47.10501006173799)|1
