"villes_origine_code","person"
Borgosesia,26
Varzo,21
Habère-Lullin,21
Albogno,15
Valgrisenche,10
Bobbio,8
Maggiora,7
Rimasco,5
Parone,5
Masserano,5
Viuz-en-Sallaz,4
Trasquera,4
Rima San Giuseppe,4
Notre-Dame-du-Pré,4
Arola,4
Vintebbio,3
Vercelli,3
Traversella,3
Sostegno,3
Serravalle Scrivia,3
Milano,3
Migiandone,3
Garlasco,3
Curino,3
Cellio,3
Évires,2
Ville-la-Grand,2
Varallo,2
Thonon-les-Bains,2
Quarona,2
Prato Sesia,2
Neydens,2
Nangy,2
Morca,2
Grénoble,2
Grignasco,2
Entremont,2
Crescentino,2
Cossato,2
Cluses,2
Chambéry,2
Challonges,2
Cavandone,2
Brusnengo,2
Arvier,2
Archamps,2
Annecy,2
Vigevano,1
Vienne,1
Viconago-Cadegliano,1
Veigy-Foncenex,1
"Varzo,Vargo",1
Vadans,1
"Trasquera,Domodossola",1
"Torino,Annecy",1
Taninges,1
Suna,1
Soriso,1
Seytroux,1
Saint-Russo,1
Saint-Jean-d'Aulps,1
Saint-Cergues,1
Ruelle-Vergy,1
Rossa,1
Ronago,1
Roma,1
Quarna Sopra ,1
Prestinari Osola,1
Pralognan-la-Vanoise,1
Pinerolo,1
Pavero,1
Noége,1
Novara,1
Napoli,1
Murisengo,1
Monza,1
Montescheno,1
Mesenzana,1
Mayland,1
Marpod,1
Magliano Alpi,1
Lugrin,1
Loisin,1
Lillon,1
Juvigny,1
"Jeresto,Foresto",1
Héricourt,1
"Henry,Hezy sur Algine,Héricourt",1
Hargueva,1
Habère-Poche,1
"Habère-Lullin,Rully",1
Gray,1
Gozzano,1
Gaillard ,1
Feningue,1
Domodossola,1
Curiglia ,1
Curate,1
Crasso,1
Cranves Sales,1
Cortemaggiore,1
Conzano,1
Clusone,1
Cimamulera,1
Chamonix-Mont-Blanc,1
Casella,1
Carcoforo,1
Campertogno,1
Buttogno,1
Brocioletta,1
"Borgosesia,Arona",1
Bonneville,1
Bogève,1
Bluses,1
Beaumont,1
Asti,1
Asola,1
Aosta,1
"Annemasse,Auvemost",1
Alpette,1
Albizzate ,1
Alagna,1
Aix-les-Bains,1
