"pk_ville_origine","nom_ville","region","province","long","lat","nom_mention","valée"
1,Drezzo,Lombardia,Como,45.8168,8.9999,Drecio,
2,Borgosesia,Piemonte,Vercelli,45.7186,8.2768,,
3,Casella,Liguria,Genova,44.5367,8.9992,,
4,Bluses,Savoie,,,,,
6,Cluses,Haute-Savoie,Auvergne-Rhône-Alpes,46.0668,6.5997,,
7,Sostegno,Piemonte,Biella,45.6534,8.2686,,
9,Rimasco,Piemonte,Vercelli,45.8675,8.066,,
12,Parone,Piemonte,Varallo,45.7934,8.2566,,
17,Farmaco,"","","","","",
19,Foresto,Piemonte,Bussoleno,45.1428,7.1212,,
20,Clusone,Lombardia,Bergamo,45.891,9.9495,,
22,Monza,Lombardia,Monza,45.5843,9.2738,,
23,Arola,Piemonte,Verbano-Cusio-Ossola,45.8087,8.3565,,
26,Grignasco,Piemonte,Novara,45.6841,8.3345,,
27,Varzo,Piemonte,Verbano-Cusio-Ossola,46.2093,8.2521,,Val Divedro
28,Bobbio,Emiglia-Romagna,Piacenza,44.7525,9.4124,Villard Bobbio,Val Trebbia
29,Albogno,Piemonte,Verbano-Cusio-Ossola,46.1396,8.4209,,Val Vigezzo
30,Valprato Soana,Piemonte,Torino,45.5203,7.5493,Val prato,Val Soana
32,Challonges,Haute-Savoie,Auvergne-Rhône-Alpes,46.0168,5.8334,,
33,Cranves Sales,Haute-Savoie,Auvergne-Rhône-Alpes,46.1834,6.3003,Cranves,
34,Valgrisenche,Valle d'Aosta,"",45.6304,7.0656,,
39,Beaumont,Haute-Savoie,Auvergne-Rhône-Alpes,46.1001,6.117,,
40,Nangy,Haute-Savoie,Auvergne-Rhône-Alpes,46.1501,6.3003,,
42,Maggiora,Piemonte,Novara,45.6841,8.4334,,
44,Habère-Poche,Haute-Savoie,Auvergne-Rhône-Alpes,46.2511,6.4723,,
45,Thonon-les-Bains,Haute-Savoie,Auvergne-Rhône-Alpes,46.3671,6.4837,,
46,Alagna,Piemonte,Vercelli,45.8546,7.9362,,
47,Valbondione,Lombardia,Bergamo,46.038,10.0127,Bondione,
51,Cavandone,Piemonte,Verbano-Cusio-Ossola,45.9459,8.5178,,
59,Habère-Lullin,Haute-Savoie,Auvergne-Rhône-Alpes,46.2359,6.4531,,
60,Feningue,,,,,Faminge,
64,Archamps,Haute-Savoie,Auvergne-Rhône-Alpes,46.1349,6.1307,,
66,Auvemost,,,,,,
67,Velogny,Côté-d'Or,Bourgogne-Franche-Comté,47.4004,4.467,,
68,Évires,Haute-Savoie,Auvergne-Rhône-Alpes,46.0376,6.2244,,
